Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
135,BARRA BRAUNA,NAT,Paraíba do Sul,Sudeste,0.2094,0.0,-0.2093999999999987,-0.2093999999999987,0.0,-0.20940000000000047,-0.20940000000000047
141,BAGUARI,NAT,Doce,Sudeste,0.1698,-0.16979999999999507,0.0,-0.16980000000000217,0.0,-0.16980000000000217,-0.16979999999999507
144,MASCARENHAS,NAT,Doce,Sudeste,0.1989,-0.19889999999999475,0.19889999999999475,0.0,-0.19889999999999475,0.0,0.0
145,RONDON II,NAT,Amazonas (SE),Sudeste,0.5244,0.0,0.0,0.0,0.5244,1.0488,0.0
148,AIMORÉS,NAT,Doce,Sudeste,0.2558,0.0,0.2558000000000078,-0.2557999999999936,-0.2557999999999936,0.0,-0.2557999999999936
149,CANDONGA,NAT,Doce,Sudeste,0.4503,-0.4502999999999986,0.0,-0.4503000000000057,-0.4502999999999986,-0.4502999999999986,-0.4503000000000057
154,SAO DOMINGOS,NAT,Baixo Paraná,Sudeste,0.3071,0.0,0.0,-0.3070999999999984,0.0,-0.3070999999999984,-0.3070999999999984
155,RETIRO BAIXO,NAT,São Francisco (SE),Sudeste,0.3346,-0.3346000000000018,0.0,-0.3346000000000018,-0.3346000000000018,-0.33459999999999823,0.0
156,TRES MARIAS,NAT,São Francisco (SE),Sudeste,0.436,-0.4359999999999786,-0.43600000000000705,-0.4359999999999786,-0.43600000000000705,-0.43600000000000705,0.0
158,QUEIMADO,NAT,São Francisco (SE),Sudeste,1.6404,-1.6403999999999996,0.0,0.0,-1.6403999999999996,0.0,-1.6403999999999996
169,SOBRADINHO,NAT,São Francisco (NE),Nordeste,0.2449,-0.24490000000002965,-9.061300000000017,-33.061500000000024,-22.041000000000025,-10.285799999999995,3.9183999999999912
172,LUIZ GONZAGA,NAT,São Francisco (NE),Nordeste,0.4425,-0.44249999999999545,-28.762500000000045,-59.73750000000001,-39.82499999999999,-18.58499999999998,7.079999999999984
176,COMPLEXO,NAT,São Francisco (NE),Nordeste,1.0213,-1.0212999999998829,-66.38449999999989,-137.8755000000001,-91.91700000000014,-42.89459999999997,16.340799999999945
178,XINGÓ,NAT,São Francisco (NE),Nordeste,1.0781,-1.0781000000001768,-81.93560000000002,-145.5435,-97.029,-45.280200000000036,17.249599999999987
183,A. DIAS + SÁ CARVALHO,NAT,Doce,Sudeste,0.9364,0.0,0.0,0.0,0.0,0.0,0.0
188,ITAPEBI,NAT,Jequitinhonha (NE),Nordeste,0.715,-0.7150000000000034,0.0,-0.7149999999999963,-0.7150000000000034,0.0,0.0
190,B. ESPERANCA,NAT,Parnaíba,Nordeste,0.3784,0.0,0.0,0.0,0.0,-5.676000000000002,-9.838400000000007
191,CANA BRAVA,NAT,Tocantins (SE),Sudeste,0.3868,-0.3867999999999938,0.773600000000016,3.867999999999995,3.481200000000001,3.0944000000000074,2.7076000000000136
196,ROSAL,NAT,Itabapoana,Sudeste,1.6903,0.0,0.0,0.0,0.0,-1.690299999999997,-1.6903000000000006
197,PICADA,NAT,Paraíba do Sul,Sudeste,1.1546,0.0,-1.1545999999999985,0.0,-1.154600000000002,-1.154600000000002,-1.1545999999999985
198,SOBRAGI,NAT,Paraíba do Sul,Sudeste,0.7164,-0.7164000000000001,0.0,0.0,-0.7163999999999966,-0.7164000000000001,-0.7164000000000001
