Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
287,SANTO ANTONIO,0.1589,NAT,35750,32131,28242,29084,24100,22739,5680.675,5105.615900000001,4487.6538,4621.4476,3829.4900000000002,3613.2271000000005,Amazonas (SE),Sudeste
288,PIMENTAL,0.0,NAT,15748,14851,12436,11047,9855,8370,0.0,0.0,0.0,0.0,0.0,0.0,Xingu,Norte
289,,,,,,,,,,,,,,,,Paranaíba,Sudeste
290,SANTO ANTONIO DO JARI,0.2315,NAT,2460,2705,3623,4072,4273,3970,569.49,626.2075,838.7245,942.668,989.1995000000001,919.0550000000001,Amazonas (N),Norte
291,DARDANELOS,0.8689,NAT,821,620,456,387,318,292,713.3669,538.718,396.2184,336.2643,276.3102,253.7188,Amazonas (SE),Sudeste
292,BELO MONTE ART,0.8185,ART,8832.167142857143,9314.44,8278.711428571429,7693.7814285714285,6874.445714285714,5762.108571428572,7229.128806428571,7623.869140000001,6776.125304285714,6297.360099285715,5626.733817142856,4716.285865714286,Xingu,Norte
293,,,,,,,,,,,,,,,,Tietê,Sudeste
294,SALTO,0.4502,NAT,111,101,98,98,95,95,49.9722,45.4702,44.1196,44.1196,42.769,42.769,Paranaíba,Sudeste
295,JAURU,0.9297,NAT,91,78,75,75,73,72,84.6027,72.5166,69.72749999999999,69.72749999999999,67.8681,66.9384,Paraguai,Sudeste
296,GUAPORÉ,1.5452,NAT,42,37,36,35,34,34,64.8984,57.172399999999996,55.627199999999995,54.081999999999994,52.5368,52.5368,Amazonas (SE),Sudeste
297,FERREIRA GOMES,0.1499,NAT,2935,2524,2855,2889,2912,2909,439.9565,378.3476,427.96450000000004,433.0611,436.5088,436.0591,Araguari,Norte
298,,,ART,96.45263157894736,104.59473684210526,91.4421052631579,108.97894736842105,105.22105263157894,102.08947368421053,,,,,,,Paraíba do Sul,Sudeste
