Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
198,SOBRAGI,0.7164,NAT,38,37,36,36,35,34,27.223200000000002,26.506800000000002,25.7904,25.7904,25.074,24.3576,Paraíba do Sul,Sudeste
199,,,,,,,,,,,,,,,,Paraíba do Sul,Sudeste
201,,,NAT,8,8,7,7,6,6,,,,,,,Paraíba do Sul,Sudeste
202,,,NAT,4,3,3,3,2,2,,,,,,,Paraíba do Sul,Sudeste
203,,,NAT,12,11,10,11,9,9,,,,,,,Doce,Sudeste
204,CACHOEIRA CALDEIRAO,0.1406,NAT,2904,2497,2828,2868,2884,2891,408.30240000000003,351.0782,397.6168,403.24080000000004,405.4904,406.4746,Araguari,Norte
205,CORUMBA IV,0.5836,NAT,72,61,57,54,51,48,42.0192,35.5996,33.2652,31.514400000000002,29.7636,28.0128,Paranaíba,Sudeste
206,MIRANDA,0.6195,NAT,259,230,211,208,197,193,160.4505,142.485,130.71450000000002,128.85600000000002,122.04150000000001,119.5635,Paranaíba,Sudeste
207,CAPIM BRANCO 1,0.5114,NAT,261,232,212,209,198,193,133.47539999999998,118.64479999999999,108.4168,106.8826,101.2572,98.7002,Paranaíba,Sudeste
209,CORUMBA I,0.6294,NAT,268,237,220,209,196,187,168.67919999999998,149.1678,138.468,131.5446,123.3624,117.69779999999999,Paranaíba,Sudeste
211,FUNIL-GRANDE,0.3549,NAT,161,149,140,139,136,131,57.1389,52.8801,49.686,49.3311,48.2664,46.4919,Grande,Sudeste
213,SUIÇA,2.1132,NAT,5,4,4,4,4,5,10.565999999999999,8.4528,8.4528,8.4528,8.4528,10.565999999999999,Santa Maria da Vitória,Sudeste
215,BARRA GRANDE,1.4153,NAT,69,197,86,79,75,162,97.6557,278.8141,121.7158,111.8087,106.1475,229.2786,Uruguai,Sul
216,CAMPOS NOVOS,1.6063,NAT,113,212,154,124,106,147,181.5119,340.5356,247.3702,199.18120000000002,170.2678,236.1261,Uruguai,Sul
217,MACHADINHO,0.8779,NAT,269,554,337,274,249,422,236.1551,486.3566,295.8523,240.5446,218.5971,370.4738,Uruguai,Sul
220,MONJOLINHO,0.54,NAT,86,118,58,37,31,62,46.440000000000005,63.720000000000006,31.32,19.98,16.740000000000002,33.480000000000004,Uruguai,Sul
221,,,NAT,5,9,4,3,3,4,,,,,,,Jacuí,Sul
222,SALTO CAXIAS,0.5596,NAT,1198,1919,1891,1213,843,976,670.4008,1073.8724,1058.2036,678.7948,471.7428,546.1696,Iguaçu,Sul
224,,,NAT,5,9,4,3,3,4,,,,,,,Jacuí,Sul
225,SALTO APIACÁS,0.2218,NAT,290,207,160,131,105,83,64.322,45.9126,35.488,29.055799999999998,23.289,18.409399999999998,Amazonas (SE),Sudeste
226,JURUENA,0.2969,NAT,145,141,139,137,135,133,43.0505,41.862899999999996,41.2691,40.6753,40.0815,39.4877,Amazonas (SE),Sudeste
227,SINOP,0.2431,NAT,950,839,735,698,661,695,230.94500000000002,203.9609,178.6785,169.68380000000002,160.6891,168.9545,Amazonas (SE),Sudeste
228,COLIDER,0.2078,NAT,1049,934,806,763,722,752,217.9822,194.08520000000001,167.48680000000002,158.5514,150.0316,156.2656,Amazonas (SE),Sudeste
229,TELES PIRES,0.5054,NAT,3099,2469,1992,1701,1518,1542,1566.2345999999998,1247.8326,1006.7567999999999,859.6854,767.1972,779.3267999999999,Amazonas (SE),Sudeste
230,SAO MANOEL,0.2267,NAT,3142,2505,2019,1709,1525,1555,712.2914000000001,567.8835,457.70730000000003,387.43030000000005,345.71750000000003,352.5185,Amazonas (SE),Sudeste
237,,,NAT,203,214,226,244,200,241,,,,,,,Tietê,Sudeste
238,,,NAT,255,265,270,291,242,284,,,,,,,Tietê,Sudeste
239,,,NAT,359,360,355,381,324,367,,,,,,,Tietê,Sudeste
240,,,NAT,411,410,399,439,376,425,,,,,,,Tietê,Sudeste
241,SLT VERDINHO,0.3742,NAT,121,111,104,105,103,101,45.2782,41.5362,38.916799999999995,39.291,38.5426,37.7942,Paranaíba,Sudeste
242,,,NAT,435,430,415,462,396,448,,,,,,,Tietê,Sudeste
